request_id,dataset_name,attack_class,production_model,adaptive_model,ground_truth,production_prediction,adaptive_prediction,production_binary,adaptive_binary,production_risk,adaptive_risk,risk_delta,adaptive_confidence,agreement,production_correct,adaptive_correct,correctness_category,paired_correctness_diff,latency_prod_ms,latency_adapt_sel_ms,latency_adapt_inf_ms,latency_adapt_tot_ms
EVAL-IDS2018-0035,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9733,0.05,0.9233,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.3153,0.0898,0.0006,0.0904
EVAL-IDS2018-0037,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.2056,0.0724,0.0005,0.0729
EVAL-IDS2018-0039,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9733,0.05,0.9233,0.5717,False,False,True,adaptive_correct_production_incorrect,1,79.9215,0.1507,0.0006,0.1513
EVAL-IDS2018-0041,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.72,0.0787,0.0005,0.0792
EVAL-IDS2018-0043,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.3366,0.0788,0.0007,0.0795
EVAL-IDS2018-0045,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9733,0.05,0.9233,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.2261,0.0975,0.0007,0.0982
EVAL-IDS2018-0047,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.7393,0.1309,0.0009,0.1318
EVAL-IDS2018-0049,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9467,0.05,0.8967,0.5717,False,False,True,adaptive_correct_production_incorrect,1,80.6912,0.1198,0.0006,0.1204
EVAL-IDS2018-0051,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,84.1915,0.0805,0.0005,0.081
EVAL-IDS2018-0053,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,85.5605,0.1333,0.0009,0.1342
EVAL-IDS2018-0055,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9267,0.05,0.8767,0.5717,False,False,True,adaptive_correct_production_incorrect,1,83.192,0.1381,0.0008,0.1389
EVAL-IDS2018-0057,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9267,0.05,0.8767,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.4686,0.1225,0.0007,0.1232
EVAL-IDS2018-0059,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,83.415,0.1226,0.0006,0.1232
EVAL-IDS2018-0061,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.1853,0.1573,0.0007,0.158
EVAL-IDS2018-0063,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.98,0.05,0.93,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.6133,0.1034,0.0007,0.1041
EVAL-IDS2018-0065,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,70.0006,0.0963,0.0007,0.097
EVAL-IDS2018-0067,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,94.8377,0.129,0.0008,0.1298
EVAL-IDS2018-0069,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,86.9572,0.076,0.0006,0.0766
EVAL-IDS2018-0071,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,80.4883,0.0806,0.0007,0.0813
EVAL-IDS2018-0073,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9733,0.05,0.9233,0.5717,False,False,True,adaptive_correct_production_incorrect,1,83.8375,0.0928,0.0005,0.0933
EVAL-IDS2018-0075,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9733,0.05,0.9233,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.719,0.1114,0.0008,0.1122
EVAL-IDS2018-0077,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9733,0.05,0.9233,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.5061,0.109,0.0051,0.1141
EVAL-IDS2018-0079,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,85.5377,0.0653,0.0004,0.0657
EVAL-IDS2018-0081,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9733,0.05,0.9233,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.2424,0.1102,0.0007,0.1109
EVAL-IDS2018-0083,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,80.896,0.0746,0.0005,0.0751
EVAL-IDS2018-0085,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.0871,0.0612,0.0003,0.0615
EVAL-IDS2018-0087,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,78.4719,0.1494,0.0008,0.1502
EVAL-IDS2018-0089,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,80.6429,0.1086,0.0004,0.109
EVAL-IDS2018-0091,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.7387,0.2569,0.0007,0.2576
EVAL-IDS2018-0093,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,71.4512,0.0945,0.0006,0.0951
EVAL-IDS2018-0095,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9733,0.05,0.9233,0.5717,False,False,True,adaptive_correct_production_incorrect,1,69.3119,0.1051,0.0006,0.1057
EVAL-IDS2018-0097,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,83.3111,0.1599,0.0008,0.1607
EVAL-IDS2018-0099,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.3077,0.1158,0.0006,0.1164
EVAL-DDOS2019-0001,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5267,0.05,0.4767,0.558,False,False,True,adaptive_correct_production_incorrect,1,161.7488,0.0995,0.0007,0.1002
EVAL-DDOS2019-0002,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.56,0.05,0.51,0.558,False,True,False,production_correct_adaptive_incorrect,-1,79.0971,0.0826,0.0005,0.0831
EVAL-DDOS2019-0003,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5333,0.05,0.4833,0.558,False,False,True,adaptive_correct_production_incorrect,1,82.7827,0.0846,0.0004,0.085
EVAL-DDOS2019-0004,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,68.4068,0.0864,0.0007,0.0871
EVAL-DDOS2019-0005,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,78.5564,0.1074,0.0007,0.1081
EVAL-DDOS2019-0006,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.58,0.05,0.53,0.558,False,True,False,production_correct_adaptive_incorrect,-1,77.8388,0.0917,0.0007,0.0924
EVAL-DDOS2019-0007,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,85.758,0.1258,0.0007,0.1265
EVAL-DDOS2019-0008,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,85.7272,0.0693,0.0005,0.0698
EVAL-DDOS2019-0010,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.56,0.05,0.51,0.558,False,True,False,production_correct_adaptive_incorrect,-1,80.6037,0.1115,0.0006,0.1121
EVAL-DDOS2019-0011,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5267,0.05,0.4767,0.558,False,False,True,adaptive_correct_production_incorrect,1,58.6402,0.0832,0.0005,0.0837
EVAL-DDOS2019-0012,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,59.3371,0.0847,0.0007,0.0854
EVAL-DDOS2019-0013,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,82.6198,0.1003,0.0006,0.1009
EVAL-DDOS2019-0014,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6,0.05,0.55,0.558,False,True,False,production_correct_adaptive_incorrect,-1,61.4054,0.0963,0.0006,0.0969
EVAL-DDOS2019-0015,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,59.9789,0.1127,0.0006,0.1133
EVAL-DDOS2019-0016,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.56,0.05,0.51,0.558,False,True,False,production_correct_adaptive_incorrect,-1,82.341,0.0925,0.0006,0.0931
EVAL-DDOS2019-0017,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5333,0.05,0.4833,0.558,False,False,True,adaptive_correct_production_incorrect,1,92.7347,0.0854,0.0008,0.0862
EVAL-DDOS2019-0018,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,92.8106,0.1012,0.0014,0.1026
EVAL-DDOS2019-0020,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,83.1246,0.0961,0.0008,0.0969
EVAL-DDOS2019-0022,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.58,0.05,0.53,0.558,False,True,False,production_correct_adaptive_incorrect,-1,82.9074,0.1214,0.0008,0.1222
EVAL-DDOS2019-0023,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,97.8719,0.0789,0.0004,0.0793
EVAL-DDOS2019-0024,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,78.7938,0.0621,0.0004,0.0625
EVAL-DDOS2019-0025,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,79.067,0.1148,0.001,0.1158
EVAL-DDOS2019-0026,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5867,0.05,0.5367,0.558,False,True,False,production_correct_adaptive_incorrect,-1,80.7671,0.0809,0.0007,0.0816
EVAL-DDOS2019-0028,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,78.3594,0.077,0.0005,0.0775
EVAL-DDOS2019-0029,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5333,0.05,0.4833,0.558,False,False,True,adaptive_correct_production_incorrect,1,67.5184,0.1383,0.0009,0.1392
EVAL-DDOS2019-0030,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5867,0.05,0.5367,0.558,False,True,False,production_correct_adaptive_incorrect,-1,68.6182,0.0816,0.0007,0.0823
EVAL-DDOS2019-0032,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5733,0.05,0.5233,0.558,False,True,False,production_correct_adaptive_incorrect,-1,66.9846,0.0842,0.0007,0.0849
EVAL-DDOS2019-0033,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,73.4755,0.1074,0.0006,0.108
EVAL-DDOS2019-0034,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,69.7542,0.085,0.0006,0.0856
EVAL-DDOS2019-0035,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5067,0.05,0.4567,0.558,False,False,True,adaptive_correct_production_incorrect,1,69.5461,0.0892,0.0009,0.0901
EVAL-DDOS2019-0036,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,80.9715,0.0744,0.0004,0.0748
EVAL-DDOS2019-0037,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,80.3219,0.11,0.0008,0.1108
EVAL-DDOS2019-0038,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,79.6656,0.0963,0.0007,0.097
EVAL-DDOS2019-0040,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5867,0.05,0.5367,0.558,False,True,False,production_correct_adaptive_incorrect,-1,80.6153,0.0729,0.0005,0.0734
EVAL-DDOS2019-0041,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,79.2292,0.1054,0.0006,0.106
EVAL-DDOS2019-0042,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.58,0.05,0.53,0.558,False,True,False,production_correct_adaptive_incorrect,-1,61.8186,0.0829,0.0005,0.0834
EVAL-DDOS2019-0043,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.52,0.05,0.47,0.558,False,False,True,adaptive_correct_production_incorrect,1,61.9572,0.0996,0.0007,0.1003
EVAL-DDOS2019-0044,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.56,0.05,0.51,0.558,False,True,False,production_correct_adaptive_incorrect,-1,68.5622,0.1115,0.0007,0.1122
EVAL-DDOS2019-0046,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.58,0.05,0.53,0.558,False,True,False,production_correct_adaptive_incorrect,-1,92.6259,0.1069,0.0006,0.1075
EVAL-DDOS2019-0048,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5867,0.05,0.5367,0.558,False,True,False,production_correct_adaptive_incorrect,-1,76.8422,0.138,0.0008,0.1388
EVAL-DDOS2019-0049,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,89.0786,0.1827,0.0007,0.1834
EVAL-DDOS2019-0050,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5733,0.05,0.5233,0.558,False,True,False,production_correct_adaptive_incorrect,-1,89.8106,0.0957,0.0006,0.0963
EVAL-DDOS2019-0051,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5333,0.05,0.4833,0.558,False,False,True,adaptive_correct_production_incorrect,1,80.1941,0.0871,0.0007,0.0878
EVAL-DDOS2019-0052,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5733,0.05,0.5233,0.558,False,True,False,production_correct_adaptive_incorrect,-1,79.3834,0.1043,0.0006,0.1049
EVAL-DDOS2019-0053,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5267,0.05,0.4767,0.558,False,False,True,adaptive_correct_production_incorrect,1,82.8365,0.0846,0.0007,0.0853
EVAL-DDOS2019-0054,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,84.6124,0.0989,0.0027,0.1016
EVAL-DDOS2019-0055,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5333,0.05,0.4833,0.558,False,False,True,adaptive_correct_production_incorrect,1,80.5689,0.0936,0.0004,0.094
EVAL-DDOS2019-0056,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,77.8719,0.0648,0.0006,0.0654
EVAL-DDOS2019-0058,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,81.8427,0.1339,0.0009,0.1348
EVAL-DDOS2019-0060,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5933,0.05,0.5433,0.558,False,True,False,production_correct_adaptive_incorrect,-1,83.4075,0.153,0.0008,0.1538
EVAL-DDOS2019-0061,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5267,0.05,0.4767,0.558,False,False,True,adaptive_correct_production_incorrect,1,68.8515,0.0656,0.0004,0.066
EVAL-DDOS2019-0062,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5733,0.05,0.5233,0.558,False,True,False,production_correct_adaptive_incorrect,-1,78.5724,0.0947,0.0008,0.0955
EVAL-DDOS2019-0064,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,78.9704,0.1056,0.0007,0.1063
EVAL-DDOS2019-0065,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,70.8487,0.074,0.0004,0.0744
EVAL-DDOS2019-0066,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5733,0.05,0.5233,0.558,False,True,False,production_correct_adaptive_incorrect,-1,80.9848,0.1389,0.0009,0.1398
EVAL-DDOS2019-0068,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5733,0.05,0.5233,0.558,False,True,False,production_correct_adaptive_incorrect,-1,77.9606,0.0944,0.0006,0.095
EVAL-DDOS2019-0070,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,67.9089,0.0892,0.0006,0.0898
EVAL-DDOS2019-0071,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,83.6513,0.0972,0.0006,0.0978
EVAL-DDOS2019-0072,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5733,0.05,0.5233,0.558,False,True,False,production_correct_adaptive_incorrect,-1,91.739,0.8863,0.0005,0.8868
EVAL-DDOS2019-0073,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,83.7572,0.1176,0.0005,0.1181
EVAL-DDOS2019-0074,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5867,0.05,0.5367,0.558,False,True,False,production_correct_adaptive_incorrect,-1,99.5261,0.2684,0.0008,0.2692
EVAL-DDOS2019-0075,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,96.613,0.115,0.0008,0.1158
EVAL-DDOS2019-0076,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.5733,0.05,0.5233,0.558,False,True,False,production_correct_adaptive_incorrect,-1,86.0386,0.0804,0.0006,0.081
EVAL-DDOS2019-0077,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,95.3224,0.1186,0.0008,0.1194
EVAL-DDOS2019-0078,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.56,0.05,0.51,0.558,False,True,False,production_correct_adaptive_incorrect,-1,80.7945,0.0757,0.0006,0.0763
EVAL-DDOS2019-0079,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.5333,0.05,0.4833,0.558,False,False,True,adaptive_correct_production_incorrect,1,79.7677,0.1015,0.0006,0.1021
EVAL-DDOS2019-0080,cicddos2019,ReflectionDDoS/DNS,webpage-phishing,CatBoost,1,phishing,0,1,0,0.6067,0.05,0.5567,0.558,False,True,False,production_correct_adaptive_incorrect,-1,80.844,0.0714,0.0004,0.0718
EVAL-DDOS2019-0081,cicddos2019,BenignQuery,webpage-phishing,CatBoost,0,phishing,0,1,0,0.54,0.05,0.49,0.558,False,False,True,adaptive_correct_production_incorrect,1,79.9948,0.0772,0.0005,0.0777
